condition,MSc,age,female,nonUS,sensScale,MScIfControl,MScIfScared,sample,badRand,MScBadRand,Block,Select
0,14,70,0,0,0.98,14,10,1,0,14,NA,0
0,35,51,1,0,0.63,35,29,1,0,35,NA,0
1,17,40,0,0,-0.31,16,17,1,0,16,NA,0
0,28,33,0,0,-0.37,28,31,1,1,31,NA,0
1,23,61,1,0,0.31,26,23,1,0,26,NA,0
0,15,58,0,0,-0.53,15,17,1,1,17,NA,0
0,33,52,0,0,0.43,33,27,1,1,27,NA,0
0,35,34,1,1,-0.7,35,41,1,0,35,NA,0
1,14,57,1,0,-1.38,16,14,1,1,14,NA,0
1,16,37,0,1,-0.9,15,16,1,1,16,NA,0
0,16,61,0,0,0.4,16,17,1,0,16,NA,0
0,24,27,0,0,0.44,24,16,1,1,16,NA,0
1,28,47,1,0,0.29,30,28,1,1,28,NA,1
1,7,93,1,1,0.85,7,7,1,1,7,NA,0
1,28,57,0,0,-1.01,29,28,1,1,28,NA,0
0,19,54,0,1,1.54,19,16,1,0,19,NA,0
0,12,60,0,1,2.25,12,3,1,0,12,NA,0
1,35,62,1,1,-1.2,32,35,1,1,35,NA,0
1,12,47,0,0,0.64,12,12,1,0,12,NA,0
0,29,45,1,0,-1.03,29,29,1,1,29,NA,0
0,29,56,1,0,0.17,29,28,1,0,29,NA,0
0,36,51,1,1,0.17,36,36,1,0,36,NA,0
1,31,57,1,0,0.43,30,31,1,0,30,NA,1
1,18,51,0,0,0.42,17,18,1,1,18,NA,0
1,32,29,1,0,-0.55,35,32,1,0,35,NA,0
0,16,59,0,1,0.5,16,13,1,0,16,NA,0
0,17,44,0,0,1.15,17,11,1,0,17,NA,0
1,12,53,0,1,0.56,12,12,1,0,12,NA,0
0,26,50,1,0,-0.58,26,26,1,0,26,NA,0
1,29,32,1,1,1.54,34,29,1,0,34,NA,0
0,21,54,0,0,-0.99,21,25,1,1,25,NA,0
0,21,55,0,0,-0.39,21,22,1,1,22,NA,0
1,23,28,0,0,0.14,28,23,1,0,28,NA,0
0,18,66,0,0,-1.24,18,18,1,0,18,NA,0
0,13,41,0,0,2.5,13,5,1,0,13,NA,0
1,21,50,1,0,0.12,20,21,1,1,21,NA,0
0,5,56,0,0,-0.15,5,4,1,1,4,NA,0
1,8,44,0,0,0.59,9,8,1,0,9,NA,0
1,6,53,0,0,0.9,12,6,1,0,12,NA,0
1,1,79,0,0,1.96,7,1,1,0,7,NA,0
0,21,57,1,0,-0.97,21,21,1,1,21,NA,0
1,19,47,1,1,0.14,20,19,1,0,20,NA,0
1,17,60,0,0,0.14,17,17,1,1,17,NA,0
0,15,25,1,1,0.07,15,22,1,1,22,NA,0
1,13,48,0,0,-1.72,15,13,1,1,13,NA,0
1,14,70,0,0,-0.62,11,14,1,1,14,NA,0
1,25,46,1,0,-0.79,29,25,1,0,29,NA,0
1,25,57,1,1,0.98,29,25,1,1,25,NA,0
1,22,45,0,0,-0.41,22,22,1,1,22,NA,0
1,29,54,1,1,-0.31,30,29,1,0,30,NA,0
1,23,45,1,0,0.9,27,23,1,0,27,NA,0
0,7,39,0,1,-0.02,7,2,1,0,7,NA,0
0,15,64,0,1,0.5,15,16,1,0,15,NA,0
0,29,67,1,0,1.49,29,22,1,0,29,NA,0
1,10,44,1,0,-0.68,12,10,1,0,12,NA,0
1,34,34,0,1,-0.02,32,34,1,0,32,NA,0
0,5,52,0,0,0.37,5,1,1,0,5,NA,0
0,35,31,0,1,2.35,35,31,1,0,35,NA,0
0,19,56,0,0,-0.4,19,18,1,1,18,NA,0
1,27,39,0,0,0.52,31,27,1,0,31,NA,0
0,9,42,0,0,-1.63,9,10,1,1,10,NA,0
0,25,34,1,1,-0.24,25,27,1,0,25,NA,0
1,10,60,0,1,-0.49,9,10,1,1,10,NA,1
1,26,39,1,0,0.77,28,26,1,0,28,NA,0
0,25,37,0,0,0.77,25,21,1,1,21,NA,0
1,25,59,1,0,-0.55,23,25,1,1,25,NA,0
1,33,41,1,0,-0.2,32,33,1,1,33,NA,0
1,23,40,1,0,0.26,26,23,1,0,26,NA,0
1,21,51,1,1,0.1,19,21,1,1,21,NA,0
1,17,42,1,0,-1.16,22,17,1,1,17,NA,0
0,31,62,1,0,0.72,31,27,1,0,31,NA,0
0,26,44,0,1,-1.98,26,31,1,1,31,NA,0
0,29,50,1,0,0.81,29,25,1,0,29,NA,0
0,10,57,0,1,0.35,10,9,1,1,9,NA,0
0,14,48,1,1,-0.52,14,14,1,1,14,NA,0
1,27,44,1,1,-1.3,22,27,1,1,27,NA,0
0,21,56,1,0,-2.22,21,21,1,1,21,NA,0
1,38,61,1,1,-0.25,35,38,1,1,38,NA,0
1,29,56,0,0,0.7,28,29,1,0,28,NA,0
1,12,55,0,0,-0.79,13,12,1,1,12,NA,0
1,20,42,0,1,2.04,24,20,1,0,24,NA,0
0,36,26,1,0,-1.6,36,36,1,1,36,NA,0
1,10,62,0,1,1.94,13,10,1,0,13,NA,0
0,17,60,0,1,0.39,17,18,1,1,18,NA,0
0,13,53,0,1,-0.78,13,9,1,0,13,NA,0
0,16,54,0,1,0.33,16,13,1,0,16,NA,0
1,14,57,0,1,-0.05,15,14,1,0,15,NA,0
0,7,63,0,0,0.38,7,2,1,0,7,NA,0
1,46,33,1,0,-0.21,45,46,1,0,45,NA,0
1,21,39,0,1,-0.29,20,21,1,1,21,NA,0
1,10,37,0,0,1.57,16,10,1,0,16,NA,0
0,12,56,0,0,0.45,12,8,1,0,12,NA,0
1,31,53,1,0,-0.62,30,31,1,1,31,NA,0
1,11,49,1,0,0.16,13,11,1,0,13,NA,0
0,24,42,1,1,-0.23,24,25,1,0,24,NA,0
1,28,39,0,0,0.56,31,28,1,0,31,NA,0
