school,exper,score
1,9,5.43
1,4,4.86
1,8,4.98
1,10,5.29
1,6,3.75
1,5,4.3
1,3,5
1,2,4.01
1,2,3.87
1,7,4.96
1,13,5.22
1,6,5.54
1,5,5.52
1,10,4.52
1,1,3.63
1,9,5.61
1,4,4.5
1,6,4.93
1,6,4.23
1,5,5.26
1,3,4.4
1,7,4.23
1,4,3.85
1,4,4.79
1,5,4.58
1,11,5.33
1,10,4.27
1,1,4.11
1,6,5.03
1,5,4.48
1,5,4.33
1,10,5.12
1,3,4.4
2,12,4.69
2,7,4.74
2,3,3.68
2,10,4.99
2,4,4.25
2,14,4.51
2,7,4.57
2,7,4.39
2,10,4.83
2,9,4.93
2,7,4.5
2,5,4.1
2,7,4.71
2,13,4.8
2,17,4.77
2,12,4.96
2,9,4.15
2,6,3.82
2,6,4.08
2,3,3.89
2,8,4.12
2,16,4.96
2,6,3.93
2,20,5.71
2,9,4.51
2,6,4.06
2,13,4.79
2,9,5.93
2,9,4.28
2,10,4.33
2,3,3.75
2,10,4.34
2,14,5.4
2,9,4.58
2,5,3.92
3,8,4.25
3,10,4.41
3,19,5.06
3,15,4.38
3,12,3.77
3,13,4.64
3,9,2.73
3,11,4.37
3,4,3.3
3,3,2.71
3,7,3.31
3,17,5.06
3,7,3.07
3,12,4.46
3,13,4.36
3,8,3.75
3,8,3.6
3,7,2.13
3,19,4.59
3,3,3.3
3,15,4.63
3,14,3.97
3,15,4.22
3,16,4.23
3,20,5.03
3,20,4.63
3,16,4.85
3,12,3.91
3,22,4.57
3,11,3.06
3,16,5.13
3,9,3.89
3,13,3.96
3,15,4.7
3,10,4.52
3,7,3.53
3,14,4.23
