animalType,age,reactionTime
mammal,under 6,3.69
mammal,under 6,4.02
mammal,under 6,5.81
mammal,under 6,4.32
mammal,under 6,4.38
mammal,under 6,5.97
mammal,under 6,4.71
mammal,under 6,2.98
mammal,under 6,3.56
mammal,under 6,3.8
mammal,under 6,5.47
mammal,under 6,4.61
mammal,under 6,4.65
mammal,under 6,4.36
mammal,under 6,3.69
mammal,under 6,6.04
mammal,under 6,4.75
mammal,under 6,2.28
mammal,under 6,4.95
mammal,under 6,3.78
mammal,under 6,3.18
mammal,under 6,4.03
mammal,under 6,3.22
mammal,under 6,3.52
mammal,under 6,3.62
mammal,under 6,2.56
mammal,under 6,5.09
mammal,under 6,4.4
mammal,under 6,3.11
mammal,under 6,5.5
mammal,6+,4.14
mammal,6+,3.41
mammal,6+,4.6
mammal,6+,4.59
mammal,6+,4.53
mammal,6+,4.4
mammal,6+,4.26
mammal,6+,3.65
mammal,6+,3.4
mammal,6+,3.33
mammal,6+,3.01
mammal,6+,3.5
mammal,6+,2.44
mammal,6+,5.88
mammal,6+,4.92
mammal,6+,2.59
mammal,6+,3.31
mammal,6+,3.24
mammal,6+,4.49
mammal,6+,3.63
mammal,6+,3.96
mammal,6+,3.68
mammal,6+,3.67
mammal,6+,5.08
mammal,6+,3.48
mammal,6+,5.23
mammal,6+,2.16
mammal,6+,4.29
mammal,6+,3.83
mammal,6+,3.92
reptile,under 6,4.88
reptile,under 6,4
reptile,under 6,4.17
reptile,under 6,3.48
reptile,under 6,3.43
reptile,under 6,4.8
reptile,under 6,4.95
reptile,under 6,4.55
reptile,under 6,5.42
reptile,under 6,6.55
reptile,under 6,4.01
reptile,under 6,2.19
reptile,under 6,5.51
reptile,under 6,3.79
reptile,under 6,3.81
reptile,under 6,5.53
reptile,under 6,4.22
reptile,under 6,3.28
reptile,under 6,4.68
reptile,under 6,4.36
reptile,6+,3.96
reptile,6+,4.34
reptile,6+,3.59
reptile,6+,4.6
reptile,6+,3.74
reptile,6+,4.29
reptile,6+,5.06
reptile,6+,4.39
reptile,6+,3.63
reptile,6+,5.11
reptile,6+,4.95
reptile,6+,4.51
reptile,6+,4.2
reptile,6+,3.33
reptile,6+,5.32
reptile,6+,3.36
reptile,6+,6.15
reptile,6+,5.49
reptile,6+,3.72
reptile,6+,2.93
bird,under 6,4.04
bird,under 6,5.01
bird,under 6,4.5
bird,under 6,4.4
bird,under 6,3.8
bird,under 6,4.7
bird,under 6,3.97
bird,under 6,3.08
bird,under 6,4.37
bird,under 6,5.67
bird,under 6,4.17
bird,under 6,5.36
bird,under 6,3.13
bird,under 6,4.69
bird,under 6,5.27
bird,under 6,5.05
bird,under 6,4.86
bird,under 6,4.11
bird,under 6,3.9
bird,under 6,3.73
bird,under 6,4.87
bird,under 6,3.8
bird,under 6,4.26
bird,under 6,4.49
bird,under 6,6.59
bird,6+,3.56
bird,6+,4.44
bird,6+,4.29
bird,6+,3.25
bird,6+,4.14
bird,6+,5.65
bird,6+,4.66
bird,6+,4.25
bird,6+,3.79
bird,6+,2.16
bird,6+,5.34
bird,6+,2.75
bird,6+,4.95
bird,6+,6.12
bird,6+,2.77
bird,6+,4.91
bird,6+,3.95
bird,6+,2.64
bird,6+,2.69
bird,6+,2.61
bird,6+,3.68
bird,6+,2.75
bird,6+,4.9
bird,6+,6.31
bird,6+,2.92
