mass,tcell
6.15928653,0.116109265
6.654733766,0.383420717
9.338062471,0.395479186
7.105762587,0.199359184
7.193931603,0.44119944
9.57259748,0.429824347
7.691374309,0.301234081
5.102408148,0.342584811
5.969720722,0.36690497
6.331507045,0.37210332
8.836122696,0.433947706
7.539720741,0.381583388
7.601157176,0.321843544
7.166024074,0.284384456
6.166238298,0.246940049
9.680369705,0.320940393
7.746775717,0.311611544
4.050074265,0.094962593
8.052033852,0.558456612
6.290812888,0.409520586
5.398264441,0.149637075
6.673037628,0.259902645
5.460993328,0.217164264
5.906663156,0.355196407
6.062441098,0.273536326
