income,program,test
24.4,writing,49.49
27.7,standard,47.91
45.59,standard,73.84
30.71,standard,50.97
31.29,reading,54.44
47.15,reading,72.63
34.61,writing,51.67
17.35,reading,42.89
23.13,reading,40.68
25.54,writing,49.02
42.24,standard,67.25
33.6,writing,53.46
34.01,reading,55.35
31.11,standard,48.95
24.44,standard,47.76
47.87,standard,76
34.98,writing,46.11
10.33,writing,24.89
37.01,standard,55.2
25.27,standard,41.33
19.32,writing,43.42
27.82,writing,44.86
19.74,reading,28.92
22.71,writing,41.52
23.75,reading,41.8
13.13,reading,37.42
38.38,reading,52.86
31.53,standard,61.34
18.62,writing,42.61
42.54,standard,68.35
34.26,reading,50
27.05,standard,60.82
38.95,reading,58.13
38.78,writing,51.66
38.22,standard,61.2
36.89,writing,49.21
35.54,reading,53.99
29.38,writing,49.27
26.94,writing,52.35
26.2,standard,55.24
23.05,standard,43.42
27.92,writing,53.95
17.35,reading,44.47
51.69,standard,71.77
42.08,standard,62.82
18.77,reading,42.02
25.97,standard,50.89
25.33,writing,50.08
37.8,reading,64.82
29.17,reading,51.1
32.53,writing,59.79
29.71,reading,52.83
29.57,writing,53.74
43.69,writing,67.62
27.74,reading,54.2
45.16,reading,60.15
14.51,reading,28.99
35.85,writing,60.81
31.24,writing,52.64
32.16,writing,54.53
33.8,standard,61.5
24.98,standard,52.74
26.67,writing,47.35
19.81,writing,40.25
19.28,standard,43.65
33.04,standard,62.35
34.48,writing,58.61
30.53,reading,57.7
39.22,writing,61.18
50.5,standard,80.13
25.09,standard,53.5
6.91,standard,33.97
40.06,reading,62.13
22.91,reading,41.51
23.12,reading,42.57
40.26,writing,63.4
27.15,reading,47.4
17.79,standard,46.51
31.81,writing,53.27
28.61,reading,48.26
30.06,standard,51.64
33.85,reading,53.16
26.29,reading,45.95
36.44,writing,46.88
27.8,reading,40.97
33.32,reading,52.96
40.97,reading,59.64
34.35,standard,52.35
26.74,standard,40.78
41.49,reading,59.72
39.94,writing,65.2
35.48,reading,64.35
32.39,reading,52.2
23.72,standard,55.19
43.61,standard,68.02
24,standard,48.58
51.87,writing,75.5
45.33,standard,64.97
27.64,standard,51.38
19.74,standard,48.28
22.9,reading,39.15
32.57,reading,50.96
27.53,reading,41.79
26.52,reading,48.3
20.48,standard,46.61
29.55,standard,56.79
22.15,writing,38.05
13.32,reading,33.86
26.2,standard,45.48
39.19,writing,61.19
24.25,standard,54.96
36.08,reading,53.56
13.82,standard,41.4
29.44,writing,47.7
35.19,reading,52.8
33.01,writing,57.21
31.06,reading,47.66
23.59,writing,37.08
21.5,standard,51.83
19.76,standard,45.56
31.18,standard,52.26
20.53,standard,34.55
25.09,standard,58.61
27.44,standard,68.39
48.44,writing,71.48
23.48,standard,51.73
32.35,reading,58.48
30.78,standard,51.27
20.38,writing,40.63
29.29,reading,40.65
44.45,reading,60.76
34.52,reading,57.63
30.41,reading,48.96
25.78,standard,48.7
9.47,writing,30.9
41.31,reading,52
15.39,standard,43.58
37.4,reading,50.18
49.09,writing,70.05
15.56,reading,33.37
37.02,reading,55.92
27.38,standard,58.68
14.28,writing,33.37
14.85,standard,34.94
13.98,standard,30.39
24.69,reading,40.66
15.38,reading,29.55
36.88,reading,58.92
51,writing,68.69
17.13,reading,38.65
37.88,reading,57.15
37.69,standard,54.52
33.32,standard,53.37
19.92,reading,44.34
28.81,standard,57.32
27.2,writing,59.22
35.63,standard,59.61
26.28,writing,40.8
39.77,standard,59.93
26.25,reading,48.3
40.53,standard,74.03
19.51,standard,44.06
