age,gender,cmHigh
kindergarten,all male,64
5th grade,all male,47.2
graduate students,all male,39.8
kindergarten,all male,66.3
5th grade,all male,52.8
graduate students,all male,31.3
kindergarten,all male,52.2
5th grade,all male,53.9
graduate students,all male,34.4
kindergarten,all male,61.6
5th grade,all male,37.6
graduate students,all male,40.1
kindergarten,all male,55.4
5th grade,all male,42.4
graduate students,all male,36.9
kindergarten,all male,57.2
5th grade,all male,59
graduate students,all male,45.9
kindergarten,all male,56.9
5th grade,all male,42.5
graduate students,all female,38.8
kindergarten,all female,61.9
5th grade,all female,41.1
graduate students,all female,34.6
kindergarten,all female,53.4
5th grade,all female,57.6
graduate students,all female,45.8
kindergarten,all female,66.1
5th grade,all female,51
graduate students,all female,35.4
kindergarten,all female,69.4
5th grade,all female,53.6
graduate students,all female,38.8
kindergarten,all female,53.7
5th grade,all female,56.6
graduate students,all female,51.8
kindergarten,all female,57.8
5th grade,all female,44.6
graduate students,all female,34.8
kindergarten,all female,55.5
5th grade,mixed gender,48.3
graduate students,mixed gender,39.3
kindergarten,mixed gender,66.2
5th grade,mixed gender,47.1
graduate students,mixed gender,39.8
kindergarten,mixed gender,60.7
5th grade,mixed gender,60.2
graduate students,mixed gender,43.4
kindergarten,mixed gender,61.4
5th grade,mixed gender,36.7
graduate students,mixed gender,44.4
kindergarten,mixed gender,55.1
5th grade,mixed gender,48.9
graduate students,mixed gender,45.3
kindergarten,mixed gender,66.2
5th grade,mixed gender,48.6
graduate students,mixed gender,32.6
kindergarten,mixed gender,57.2
5th grade,mixed gender,39.9
graduate students,mixed gender,39.9
