HPV,neg,Emotion
4.52,19,fear
3.08,14,control
5.14,22,anger
4.66,25,fear
4.61,13,control
8.98,30,anger
2.45,20,fear
1.52,6,control
3.33,25,fear
6.34,24,fear
0.95,11,anger
3.14,10,control
4.29,9,control
3.81,22,anger
4.31,20,anger
0.09,11,anger
4.75,22,fear
3.6,7,control
1.34,9,control
1.29,9,control
4.1,26,fear
0.52,19,anger
4.31,27,fear
2.14,17,anger
6.33,6,control
2.56,21,fear
9.28,30,fear
0.37,17,fear
-0.13,19,fear
9.29,16,control
6.86,9,control
2.81,6,control
1.91,22,fear
5.77,21,anger
3.06,18,fear
7.08,27,fear
3.51,18,fear
5.89,13,control
7.79,15,control
3.21,11,control
4.69,22,fear
3.25,22,anger
5.79,5,control
3.88,20,fear
7.02,7,control
2.59,11,control
1.42,12,anger
3.58,15,anger
4.21,19,anger
-0.96,8,fear
4.62,24,anger
4.18,25,fear
3.75,23,fear
4.61,16,anger
4.14,24,anger
4.66,21,fear
1.37,15,anger
5.73,30,anger
3.31,21,anger
0.29,9,anger
2.54,20,fear
2.42,19,fear
1.57,15,anger
4.71,25,anger
4.93,23,fear
3.94,19,anger
4.01,22,fear
3.12,18,anger
3.54,9,control
5.2,27,anger
2.35,20,anger
4.1,11,control
1.35,10,anger
4.32,9,control
6.94,29,anger
2.63,24,fear
1.69,21,anger
0.23,2,control
4.43,10,control
2.77,25,fear
5.32,6,control
7.44,30,anger
1.71,18,anger
2.4,15,fear
3.3,9,control
1.61,19,anger
6.64,29,anger
0.93,21,anger
2.9,18,fear
4.05,21,anger
8.13,30,anger
2.09,23,fear
0.65,14,anger
4.46,24,anger
0.63,16,fear
2.65,8,control
6.68,23,fear
5.93,22,fear
2.95,15,anger
3.85,2,control
3.94,17,anger
1.99,17,anger
1.95,4,control
4.1,20,fear
6.33,29,fear
4.39,21,fear
7.54,14,control
2.67,7,control
3.54,22,fear
1.02,16,anger
2.18,7,control
5.52,25,anger
5.6,10,control
2.91,19,anger
3.64,19,fear
3.58,20,anger
2.3,16,fear
3.54,20,anger
3.65,20,fear
3.34,18,anger
4.73,7,control
3.44,16,anger
3.87,25,anger
4.58,21,fear
3.31,12,control
6.07,21,anger
5.09,23,anger
4.05,14,control
1.96,20,anger
4.9,22,fear
1.42,12,control
3.75,5,control
3.48,11,control
6.87,24,anger
3.33,7,control
6.36,27,fear
2.87,15,anger
3.81,7,control
0.63,20,fear
4.74,9,control
3.89,19,fear
6.27,12,control
4.24,19,anger
2.78,7,control
2.91,22,anger
3.04,23,fear
1.61,15,anger
6.81,11,control
3.29,4,control
3.44,17,fear
5.1,16,anger
3.88,22,anger
3.96,21,fear
3.29,19,fear
2.55,17,anger
4.57,20,fear
5.1,25,fear
7.01,7,control
5.12,25,anger
3.97,5,control
2.51,23,fear
6.92,28,anger
4.52,9,control
4.27,4,control
1.5,18,fear
6.46,8,control
3.4,16,fear
3.56,6,control
2.19,11,control
