income,program,test
90.74,writing,66.29
79.73,reading,56.45
79.67,writing,61.38
64.84,reading,51.12
87.9,writing,77.84
77.89,reading,59.49
73.43,writing,57.34
57.88,standard,48.66
69,standard,61.24
71.51,writing,46.49
76.03,writing,59.48
59.82,standard,49.15
96.88,reading,78.55
71.84,standard,62.11
82.75,standard,71.44
45.98,standard,36.89
75.47,reading,53.63
65.25,standard,62.72
59.77,standard,52.82
95.47,writing,79.63
65.85,reading,39.64
83.18,writing,72.67
80.46,standard,73.26
73.78,standard,61.5
71.25,reading,52.79
89.41,reading,73.76
73.71,standard,58.79
69.37,reading,57.82
58.12,standard,49.33
92.87,standard,90.47
73.21,reading,53.58
61.44,reading,39.78
85.33,reading,56.16
75.1,standard,61.6
66.46,reading,46.25
60.57,reading,44.71
70.84,standard,53.43
83.39,standard,82.27
78.36,standard,77.36
75.07,writing,51.35
71.66,reading,54.02
82.71,writing,59.54
73.57,standard,64.95
86.3,writing,72.94
76.04,writing,62.38
80.99,standard,68.75
71.69,writing,51.76
76.69,writing,53.81
87.41,reading,69.11
81.9,standard,66.1
60.61,writing,29.47
81.07,writing,70.42
78.09,standard,81.46
57.49,standard,47.22
84.81,reading,68.61
71.72,reading,51.68
90.2,writing,79.57
85.38,writing,70.16
87.69,reading,68.71
81.21,reading,52.21
88.64,writing,76.05
93.81,writing,74.05
99.66,reading,72.65
79.72,reading,58.71
49.51,standard,40.88
80.32,writing,67.61
82.06,writing,58.22
78.45,reading,55.66
85.68,reading,73.12
90.11,writing,78.9
66.82,standard,64.64
69.06,standard,69.37
75.98,standard,69
66.5,standard,55.59
80.91,writing,65.69
52.38,standard,49.68
60.8,standard,64.87
58.72,standard,40.9
71.46,writing,54.83
73.07,writing,58.34
75.82,standard,67.55
89.82,writing,64.03
64.73,standard,60.43
70.03,reading,46.14
61.58,standard,56.11
67.85,standard,64.39
77.61,writing,66.03
84.84,writing,59.05
68.79,standard,66.2
51.22,standard,39.43
79.09,reading,52.64
91.87,writing,80.44
83.92,standard,81.65
72.11,reading,50.9
56.52,standard,52.32
104.58,reading,80.28
78.38,reading,57.62
71.03,standard,62.56
84.21,reading,62.8
55.86,standard,51.53
72.72,reading,60.4
64.6,reading,42.32
73.07,writing,54.91
81.19,writing,71.37
58.35,standard,48.71
85.9,reading,52.88
82.89,reading,65.46
70.96,writing,48.53
74.26,standard,61.27
79.48,standard,78.58
