income,grant,dropout,hsgrade
18.19566971,yes,0.3125,75.25
77.79935256,yes,0.333333333,76.27777778
124.3631209,yes,0.296296296,75.96296296
178.5739017,yes,0.307692308,68.38461538
224.4162782,yes,0.555555556,75.27777778
265.3134909,yes,0.307692308,70.53846154
323.7318232,yes,0.380952381,74.57142857
374.8712,yes,0.48,70.48
427.2134861,yes,0.352941176,69.64705882
473.8927979,yes,0.230769231,70.84615385
526.37298,yes,0.416666667,81.41666667
572.3849091,yes,0.636363636,81.90909091
628.3005925,yes,0.571428571,72.57142857
672.0950588,yes,0.4,70.4
725.5282418,yes,0.363636364,75.54545455
783.3374871,yes,0.461538462,75.30769231
830.482143,no,0.333333333,77.33333333
928.2547751,yes,0.6,73
982.1631381,yes,0.230769231,75.53846154
1024.52555,yes,0.363636364,81.59090909
1067.42143,yes,0.470588235,83.23529412
1119.143387,yes,0.636363636,71.90909091
1183.023891,yes,0.533333333,77.66666667
1226.865584,yes,0.583333333,77.58333333
1276.829552,yes,0.545454545,79.27272727
1318.06228,yes,0.7,83.7
1373.060902,yes,0.25,72.75
1418.624019,yes,0.428571429,82.21428571
1469.693847,yes,0.666666667,80.26666667
1522.745002,no,0.615384615,79
1571.248921,no,0.181818182,84.54545455
1628.560907,yes,0.347826087,79.52173913
1677.825625,yes,0.642857143,78.07142857
1728.358888,yes,0.473684211,80.36842105
1775.029192,no,0.5,70.58333333
1817.674286,yes,0.571428571,82.57142857
1871.255627,yes,0.428571429,87
1925.73139,yes,0.230769231,79.15384615
1967.695097,no,0.416666667,71.83333333
2024.655233,yes,0.5,74.38888889
2072.996766,yes,0.333333333,79
2123.969597,no,0.1875,81.375
2174.420932,yes,0.545454545,80.18181818
2223.052439,yes,0.714285714,77.21428571
2278.748443,yes,0.333333333,78.8
2328.721197,yes,0.384615385,74.38461538
2372.915,yes,0.6,80.6
2423.031662,no,0.444444444,73.22222222
2472.315766,yes,0.333333333,74.72222222
2529.3026,yes,0.333333333,85.2
2565.715093,yes,0.6,81.6
2621.381097,yes,0.461538462,85.53846154
2679.925261,yes,0.25,77.66666667
2727.807807,yes,0.428571429,82.85714286
2776.092355,yes,0.421052632,81.89473684
2825.349368,yes,0.631578947,81.21052632
2872.563432,yes,0.375,76.58333333
2924.087429,yes,0.611111111,85.94444444
2974.500839,yes,0.4,79.15
3023.495407,yes,0.263157895,82.63157895
3073.268726,yes,0.6,80.16
3118.244582,yes,0.458333333,78.875
3176.324442,yes,0.565217391,81.13043478
3223.838952,yes,0.272727273,75.95454545
3279.388647,yes,0.40625,82.71875
3323.187082,yes,0.4,79.05
3376.723154,yes,0.5,82.81818182
3426.33956,yes,0.36,82.6
3470.420232,yes,0.392857143,77.89285714
3526.675355,yes,0.5,75.63636364
3573.631784,yes,0.529411765,84.58823529
3626.798262,yes,0.6,76.2
3680.46083,yes,0.321428571,81.96428571
3734.075554,yes,0.56,82.6
3766.717716,yes,0.380952381,82.57142857
3829.076777,yes,0.611111111,77.94444444
3878.127261,yes,0.391304348,83.39130435
3922.100172,yes,0.565217391,80
3978.354399,yes,0.333333333,79.14285714
4024.719535,yes,0.166666667,79.70833333
4074.173621,yes,0.5,78.15
4125.819486,no,0.208333333,77.54166667
4169.00255,yes,0.368421053,81.42105263
4222.867045,yes,0.52,79.08
4275.539035,yes,0.333333333,75.44444444
4322.720498,yes,0.5625,78.75
4378.020689,yes,0.48,80.8
4428.145154,yes,0.380952381,82.76190476
4474.754077,yes,0.47826087,81.2173913
4526.039003,yes,0.512820513,79.66666667
4573.230275,yes,0.451612903,78.51612903
4627.066598,yes,0.419354839,82
4678.04221,no,0.444444444,76.18518519
4726.619062,yes,0.275862069,81.55172414
4773.169355,yes,0.447368421,80.52631579
4828.228201,yes,0.421052632,81.84210526
4878.469407,yes,0.333333333,85.11111111
4925.815406,yes,0.4,82.4
4972.234396,yes,0.419354839,80.90322581
5027.760513,yes,0.470588235,82.41176471
5073.372459,yes,0.485714286,78.48571429
5122.591746,yes,0.454545455,84.63636364
5176.636409,yes,0.434782609,81.39130435
5222.726998,yes,0.307692308,83.23076923
5268.995736,no,0.5,71.27272727
5325.637162,no,0.566666667,80.13333333
5371.818245,yes,0.5,77.96875
5425.013988,yes,0.351351351,86.7027027
5477.553621,yes,0.390243902,81.34146341
5524.474352,yes,0.342105263,79.68421053
5577.519797,yes,0.655172414,79.20689655
5626.342904,yes,0.481481481,77
5675.106366,yes,0.361702128,82.36170213
5725.911238,yes,0.35483871,81.22580645
5774.60605,yes,0.382352941,83.61764706
5827.578914,yes,0.566666667,81.3
5874.21935,yes,0.454545455,78.78787879
5921.163102,yes,0.516129032,84.41935484
5980.502064,yes,0.368421053,80.81578947
6031.32127,no,0.5,76.5625
6082.838546,yes,0.382352941,81.73529412
6123.413087,yes,0.447368421,79.23684211
6176.30773,yes,0.390243902,78.14634146
6224.311629,yes,0.5,74.5
6275.936885,no,0.487804878,79.41463415
6323.571452,no,0.45,80.85
6373.174491,yes,0.533333333,83.3
6422.671417,yes,0.5,83.80357143
6476.349066,yes,0.357142857,83.78571429
6522.111046,yes,0.447368421,83.55263158
6576.885313,yes,0.352941176,79.88235294
6628.911953,yes,0.295454545,85.25
6674.831889,no,0.361111111,75.97222222
6726.537462,no,0.344827586,78.44827586
6775.857103,no,0.357142857,84.75
6825.797158,yes,0.513513514,79.45945946
6873.870829,yes,0.37254902,82.15686275
6927.145568,yes,0.368421053,82.05263158
6975.805034,no,0.476190476,81.33333333
7021.393676,yes,0.382978723,84.06382979
7073.793688,yes,0.4,82.4
7124.03956,yes,0.333333333,81.63888889
7174.905029,yes,0.542857143,76.51428571
7228.43178,yes,0.416666667,73.55555556
7274.118684,no,0.490566038,78.79245283
7325.433853,yes,0.47826087,78.10869565
7374.567034,yes,0.258064516,79.61290323
7427.322148,no,0.3,82.25
7473.20962,yes,0.458333333,81.625
7520.407144,yes,0.365853659,80.58536585
7575.148446,yes,0.436363636,79.6
7627.533927,yes,0.4,77.1
7677.045819,no,0.338983051,81
7720.640489,yes,0.255813953,78.39534884
7778.552518,yes,0.509433962,83.39622642
7825.761467,yes,0.288461538,80
7868.774655,yes,0.43902439,80.07317073
7927.143016,yes,0.432432432,81.56756757
7977.355749,no,0.418604651,78.51162791
8027.549396,yes,0.254901961,82.45098039
8072.061842,no,0.358974359,84.1025641
8129.188601,no,0.348837209,81.74418605
8175.875683,yes,0.409090909,77.70454545
8224.715269,no,0.441860465,79.20930233
8278.123004,no,0.466666667,81.48888889
8324.242526,yes,0.344262295,80.98360656
8374.535414,yes,0.5,83.69047619
8424.976327,no,0.37037037,77.68518519
8473.180726,no,0.382978723,81.61702128
8524.742787,no,0.358974359,77.38461538
8572.97728,no,0.333333333,82.41025641
8623.872331,yes,0.303571429,82.48214286
8675.617864,no,0.481481481,81.7037037
8726.938209,yes,0.389830508,83.93220339
