income,hsGrade,grant,collegeGrade
18.2,75.25,1,68.75
77.8,76.28,1,66.67
124.36,75.96,1,70.37
178.57,68.38,1,69.23
224.42,75.28,1,44.44
265.31,70.54,1,69.23
323.73,74.57,1,61.9
374.87,70.48,1,52
427.21,69.65,1,64.71
473.89,70.85,1,76.92
526.37,81.42,1,58.33
572.38,81.91,1,36.36
628.3,72.57,1,42.86
672.1,70.4,1,60
725.53,75.55,1,63.64
783.34,75.31,1,53.85
830.48,77.33,0,66.67
870.12,79.25,1,100
928.25,73,1,40
982.16,75.54,1,76.92
1024.53,81.59,1,63.64
1067.42,83.24,1,52.94
1119.14,71.91,1,36.36
1183.02,77.67,1,46.67
1226.87,77.58,1,41.67
1276.83,79.27,1,45.45
1318.06,83.7,1,30
1373.06,72.75,1,75
1418.62,82.21,1,57.14
1469.69,80.27,1,33.33
1522.75,79,0,38.46
1571.25,84.55,0,81.82
1628.56,79.52,1,65.22
1677.83,78.07,1,35.71
1728.36,80.37,1,52.63
1775.03,70.58,0,50
1817.67,82.57,1,42.86
1871.26,87,1,57.14
1925.73,79.15,1,76.92
1967.7,71.83,0,58.33
2024.66,74.39,1,50
2073,79,1,66.67
2123.97,81.38,0,81.25
2174.42,80.18,1,45.45
2223.05,77.21,1,28.57
2278.75,78.8,1,66.67
2328.72,74.38,1,61.54
2372.92,80.6,1,40
2423.03,73.22,0,55.56
2472.32,74.72,1,66.67
2529.3,85.2,1,66.67
2565.72,81.6,1,40
2621.38,85.54,1,53.85
2679.93,77.67,1,75
2727.81,82.86,1,57.14
2776.09,81.89,1,57.89
2825.35,81.21,1,36.84
2872.56,76.58,1,62.5
2924.09,85.94,1,38.89
2974.5,79.15,1,60
3023.5,82.63,1,73.68
3073.27,80.16,1,40
3118.24,78.88,1,54.17
3176.32,81.13,1,43.48
3223.84,75.95,1,72.73
3279.39,82.72,1,59.38
3323.19,79.05,1,60
3376.72,82.82,1,50
3426.34,82.6,1,64
3470.42,77.89,1,60.71
3526.68,75.64,1,50
3573.63,84.59,1,47.06
3626.8,76.2,1,40
3680.46,81.96,1,67.86
3734.08,82.6,1,44
3766.72,82.57,1,61.9
3829.08,77.94,1,38.89
3878.13,83.39,1,60.87
3922.1,80,1,43.48
3978.35,79.14,1,66.67
4024.72,79.71,1,83.33
4074.17,78.15,1,50
4125.82,77.54,0,79.17
4169,81.42,1,63.16
4222.87,79.08,1,48
4275.54,75.44,1,66.67
4322.72,78.75,1,43.75
4378.02,80.8,1,52
4428.15,82.76,1,61.9
4474.75,81.22,1,52.17
4526.04,79.67,1,48.72
4573.23,78.52,1,54.84
4627.07,82,1,58.06
4678.04,76.19,0,55.56
4726.62,81.55,1,72.41
4773.17,80.53,1,55.26
4828.23,81.84,1,57.89
4878.47,85.11,1,66.67
4925.82,82.4,1,60
4972.23,80.9,1,58.06
5027.76,82.41,1,52.94
5073.37,78.49,1,51.43
5122.59,84.64,1,54.55
5176.64,81.39,1,56.52
5222.73,83.23,1,69.23
5269,71.27,0,50
5325.64,80.13,0,43.33
5371.82,77.97,1,50
5425.01,86.7,1,64.86
5477.55,81.34,1,60.98
5524.47,79.68,1,65.79
5577.52,79.21,1,34.48
5626.34,77,1,51.85
5675.11,82.36,1,63.83
5725.91,81.23,1,64.52
5774.61,83.62,1,61.76
5827.58,81.3,1,43.33
5874.22,78.79,1,54.55
5921.16,84.42,1,48.39
5980.5,80.82,1,63.16
6031.32,76.56,0,50
6082.84,81.74,1,61.76
6123.41,79.24,1,55.26
6176.31,78.15,1,60.98
6224.31,74.5,1,50
6275.94,79.41,0,51.22
6323.57,80.85,0,55
6373.17,83.3,1,46.67
6422.67,83.8,1,50
6476.35,83.79,1,64.29
6522.11,83.55,1,55.26
6576.89,79.88,1,64.71
6628.91,85.25,1,70.45
6674.83,75.97,0,63.89
6726.54,78.45,0,65.52
6775.86,84.75,0,64.29
6825.8,79.46,1,48.65
6873.87,82.16,1,62.75
6927.15,82.05,1,63.16
6975.81,81.33,0,52.38
7021.39,84.06,1,61.7
7073.79,82.4,1,60
7124.04,81.64,1,66.67
7174.91,76.51,1,45.71
7228.43,73.56,1,58.33
7274.12,78.79,0,50.94
7325.43,78.11,1,52.17
7374.57,79.61,1,74.19
7427.32,82.25,0,70
7473.21,81.62,1,54.17
7520.41,80.59,1,63.41
7575.15,79.6,1,56.36
7627.53,77.1,1,60
7677.05,81,0,66.1
7720.64,78.4,1,74.42
7778.55,83.4,1,49.06
7825.76,80,1,71.15
7868.77,80.07,1,56.1
7927.14,81.57,1,56.76
7977.36,78.51,0,58.14
8027.55,82.45,1,74.51
8072.06,84.1,0,64.1
8129.19,81.74,0,65.12
8175.88,77.7,1,59.09
8224.72,79.21,0,55.81
8278.12,81.49,0,53.33
8324.24,80.98,1,65.57
8374.54,83.69,1,50
8424.98,77.69,0,62.96
8473.18,81.62,0,61.7
8524.74,77.38,0,64.1
8572.98,82.41,0,66.67
8623.87,82.48,1,69.64
8675.62,81.7,0,51.85
8726.94,83.93,1,61.02
8775.02,77.78,0,57.14
8828.06,80.48,0,69.05
8875.81,81.52,0,61.29
8922.73,81.56,0,58
8973.58,80.13,1,63.04
9026.41,81.96,1,58
9073.41,79.22,1,55
9123.66,78.52,1,69.35
9172.43,80.75,0,63.46
9224.09,78.97,0,69.23
9273.4,82.04,1,53.33
9326.78,83.79,1,68.42
9379.75,85.27,0,56.82
9423.84,79.02,1,62.79
9477.22,81.85,0,45
9524.8,78.73,0,55.36
9571.48,81.18,1,56.14
9620.42,81.87,1,66.67
9678.17,78.18,1,57.58
9725.51,80.84,0,67.24
9776.77,82.71,0,63.46
9824.37,79.24,0,64.71
9878.65,83.74,1,55.88
9926.29,79.14,1,59.74
9974.69,82.51,1,57.38
10024.15,79.48,0,71.15
10074.22,78.95,1,68.42
10123.32,85.52,1,67.39
10179.81,82.79,0,53.19
10224.41,83,1,58.46
10272.6,85.29,0,55.56
10323.14,81.11,0,76.09
10380.2,82.66,0,64.29
10422.24,82.15,1,63.83
10474.22,79.47,0,66.67
10522.4,83.74,1,64.15
10573.53,82.69,0,66.67
10625.46,85.09,0,62.26
10678.24,80.41,1,61.11
10726.97,81.31,0,60.78
10779.04,82.39,0,51.02
10825.89,78.41,0,65.85
10877.21,81.51,0,67.92
10919.27,83.31,0,59.32
10974.35,80.38,0,60
11025.77,83.23,1,66.07
11071.73,79.5,0,60
11125.5,78.92,0,71.67
11177.88,77.82,0,54.55
11225.19,81.48,1,62.07
11274.35,80.23,1,52.83
11324.11,81.82,0,58.46
11382.31,84.28,0,69.57
11425.54,84.36,0,72.73
11474.41,80.8,1,53.7
11525.2,79.81,0,59.26
11578.66,82.94,0,57.75
11627.24,81.04,0,66.67
11670.69,78.8,0,62.96
11726.52,80.85,0,65.57
11773.98,82.02,0,67.24
11824.76,80.11,0,66.67
11876.1,81.83,0,61.67
11925.49,79.37,0,55.56
11975.22,82.73,0,68.63
12024.44,82,1,62.71
12071.56,82.35,0,54.39
12124.83,78.63,0,63.46
12175.86,79.46,0,67.69
12228.25,79.98,0,61.67
12277.84,84.92,1,60
12328.68,84.81,1,62.71
12371.86,80.24,1,66.1
12423.43,84.06,0,66.04
12477.54,83.22,0,68.52
12524.18,80.41,0,72.13
12577.11,83.6,0,71.7
12624.17,82.71,0,71.43
12672.81,80.06,0,59.62
12728.61,81.98,0,65.08
12771.59,83.12,1,50
12824.71,80.16,0,65.31
12874.73,82.09,0,46.51
12924.09,83.22,0,72.22
12971.45,80.84,0,62.75
13027.26,81.34,0,81.13
13072.18,80.94,0,61.54
13127.8,78,0,78.57
13176.8,82.75,0,72.55
13223.25,84.7,0,69.64
13275.69,80.85,0,74.19
13326.22,82.6,0,69.09
13375.82,80.89,1,59.26
13422.49,83.05,0,67.86
13473.53,83.53,1,58.33
13524.86,82.74,0,63.16
13572.82,81.14,0,70.31
13625.2,82.44,0,52.05
13676.5,81.67,0,61.67
13725.17,80.02,0,65.08
13772.38,83.18,0,56.67
13824.3,81.59,0,69.49
13876.6,85.17,0,68.18
13925.41,83.65,0,73.47
13975.16,85.63,0,59.32
14027.04,83.36,0,66.07
14074.07,82.31,0,75.51
14124.42,82.83,0,60
14171.07,83.63,0,63.46
14225.62,82.25,0,62.3
14275.17,80.27,0,72.73
14327.32,79.47,0,67.92
14377.71,83.34,0,62.9
14425.29,79.56,0,69.23
14477.73,83.38,0,66.15
14522.26,85.43,0,66.04
14574.53,79.46,0,52.38
14627.25,78.73,0,62.75
14675.43,78.87,0,54.72
14723.22,81.03,0,69.49
14772.58,81.27,0,62.22
14824.69,84.62,0,60.71
14874.59,79.48,0,66
14926.67,84.73,0,63.64
14980.52,80.89,0,72.22
15028.25,80.38,0,60
15073,81.55,0,60.53
15126.29,84.31,0,62.22
15175.58,81.7,0,57.14
15222.83,81.37,0,55.81
15273.73,82.97,0,65.57
15323.13,85.14,0,67.57
15373.76,83.93,0,67.27
15422.54,81.17,0,45
15473.24,83,0,58.54
15526.45,81.17,0,50
15572.27,80.8,0,55.56
15624.38,79.95,0,50
15672.21,78.61,0,55.56
15725.13,81.34,0,55.74
15776.79,82.86,0,68.63
15826.04,81.96,0,61.82
15873.1,81.11,0,71.11
15929.01,81.93,0,61.11
15973.97,82.62,0,66.67
16027.1,81.33,0,68.52
16079.69,81.71,0,64.29
16124.23,83.18,0,68
16172.17,83,0,72.97
16227.99,80.36,0,57.14
16271.96,80.03,0,64.41
16325.54,82.47,0,73.68
16376.26,84.41,0,74.36
16428.01,82.86,0,66.67
16472.42,81.26,0,68.42
16524.88,84.88,0,56.9
16573.29,79.48,0,62
16627.41,81.5,0,63.89
16673.59,80.74,0,70.21
16722.34,81.15,0,59.62
16778.37,81.83,0,73.91
16823.91,85.14,0,68
16874.79,81.68,0,58.54
16922.66,79.5,0,66
16976.16,81.78,0,60.87
17027.9,82.21,0,56.41
17076.67,78.68,0,63.16
17122.22,80.94,0,64.71
17176.89,83.02,0,72.55
17223,79.86,0,64
17277.48,79.69,0,65.31
17325.72,89.93,0,72.41
17377.29,81.81,0,62.16
17425.8,82.51,0,54.05
17474.24,82.94,0,73.47
17523.07,77.97,0,59.38
17576.01,84.09,0,62.79
17625.78,81.98,0,74.47
17674.77,82.47,0,60
17733.53,81.1,0,65.85
17774.86,79.74,0,68.09
17821.83,83.28,0,69.23
17880.78,82.26,0,57.89
17924.27,81,0,57.89
17976.51,83.08,0,60.53
18024.04,82.58,0,68.75
18073.31,83.73,0,65.85
18129.44,80.91,0,64.71
18173.8,82.43,0,52.27
18225.16,80.62,0,67.57
18276.8,79.85,0,70.91
18323.66,86.7,0,76.74
18377.75,81.6,0,75
18424.99,77.06,0,69.44
18476.79,82.16,0,82.22
18522.51,80.67,0,64.29
18575.03,83.97,0,58.97
18619.05,79.41,0,65.22
18675.57,83.98,0,63.83
18721.17,84.71,0,65.71
18779.45,81,0,80.95
18823.74,82.02,0,68.18
18873.55,78.64,0,50
18923.62,81.71,0,60
18975.8,83.02,0,70.73
19026.76,83.63,0,62.79
19073.14,81.83,0,63.33
19126.07,83.9,0,56.67
19177.13,83.19,0,67.57
19224.83,80.22,0,59.46
19274.61,77.7,0,70.37
19327,83.39,0,58.33
19375.27,84.53,0,71.05
19426.19,82.34,0,50
19475.96,83.79,0,66.67
19522.91,84.12,0,78.05
19574.79,82.12,0,62.5
19626.98,80.75,0,60.71
19674.26,80.95,0,65.85
19723.81,81.48,0,57.58
19777.86,81.85,0,70
19824.14,78.97,0,61.11
19878.6,81,0,71.88
19925.94,81.86,0,56.82
19976.3,84.31,0,66.67
