treatment,environment,mildew
A,sun,31.04
B,sun,23.37
C,sun,46.02
A,sun,35.5
B,sun,25.91
C,sun,47.13
A,sun,38.26
B,sun,16.05
C,sun,30.14
A,sun,31.85
B,sun,33.66
C,sun,37.54
A,sun,37.83
B,sun,25.78
C,sun,31.07
A,sun,47.64
B,sun,28.52
C,sun,21.09
A,sun,39.96
B,sun,21.66
C,sun,27.45
A,sun,33.46
B,sun,17.75
C,sun,29.85
A,sun,30.58
B,sun,13.07
C,sun,40.92
A,sun,36.08
B,sun,16.95
C,sun,43.87
A,sun,38.02
B,sun,22.91
C,sun,41.33
A,sun,41.21
B,sun,30.81
C,sun,39.87
A,sun,38.92
B,sun,24.56
C,sun,32.84
A,sun,32.31
B,sun,20.09
C,sun,33.53
A,sun,26.05
B,sun,40.34
C,sun,43.54
A,sun,27.06
B,sun,22.15
C,sun,31.7
A,sun,40.52
B,sun,24.41
C,sun,36.79
A,sun,34.8
B,sun,24.7
C,sun,44.68
A,sun,33.4
B,sun,35.72
C,sun,24.05
A,sun,39.13
B,sun,25.88
C,sun,36.53
A,sun,37.68
B,sun,21.45
C,sun,32.64
A,sun,27.8
B,sun,17.42
C,sun,37.15
A,sun,38.17
B,sun,25.37
C,sun,41.52
A,sun,49.5
B,sun,21.53
C,sun,18.67
A,sun,42.11
B,sun,19.99
C,sun,30.14
A,sun,42.25
B,sun,22.99
C,sun,26.37
A,sun,36.28
B,sun,24.02
C,sun,35.04
A,sun,37.72
B,sun,22.38
C,sun,39.56
A,sun,33.44
B,sun,27.35
C,sun,42.76
A,sun,38.08
B,sun,22.7
C,sun,43.12
A,shade,47.03
B,shade,43.88
C,shade,41.69
A,shade,35.56
B,shade,49.62
C,shade,35.76
A,shade,55.47
B,shade,50.84
C,shade,38.33
A,shade,32.74
B,shade,34.98
C,shade,41.82
A,shade,38.26
B,shade,37.54
C,shade,33.27
A,shade,39.68
B,shade,34.45
C,shade,28.21
A,shade,37.31
B,shade,46.5
C,shade,35.93
A,shade,44.3
B,shade,28.56
C,shade,39.61
A,shade,43.67
B,shade,42.13
C,shade,40.75
A,shade,35.47
B,shade,33.99
C,shade,32.76
A,shade,40.83
B,shade,33.3
C,shade,36.53
A,shade,38.19
B,shade,53.04
C,shade,35.39
A,shade,41.66
B,shade,40.55
C,shade,33.2
A,shade,39.5
B,shade,50.21
C,shade,43.19
A,shade,40.29
B,shade,37.01
C,shade,25.48
A,shade,48
B,shade,29.67
C,shade,45.23
A,shade,53.5
B,shade,29.79
C,shade,44.96
A,shade,38.15
B,shade,28.88
C,shade,29.29
A,shade,28.68
B,shade,36.25
C,shade,29.66
A,shade,44.86
B,shade,54.85
C,shade,30.9
A,shade,45.57
B,shade,45.44
C,shade,42.35
A,shade,32.87
B,shade,39.16
C,shade,38.02
A,shade,43.98
B,shade,37.37
C,shade,46.91
A,shade,37.35
B,shade,47.44
C,shade,32.58
A,shade,31.09
B,shade,62.92
C,shade,37.05
A,shade,42.11
B,shade,44.5
C,shade,36.58
A,shade,43.65
B,shade,42.61
C,shade,38.48
A,shade,40.46
B,shade,39.76
C,shade,55.05
A,shade,34.76
B,shade,32.25
C,shade,40.27
A,shade,42.2
B,shade,43.09
C,shade,36.76
