ProgTime,Training,grandmean,groupmean,tdev,wdev,bdev,tdev2,wdev2,bdev2
404,1,397,380,7,24,-17,49,576,289
380,1,397,380,-17,0,-17,289,0,289
386,1,397,380,-11,6,-17,121,36,289
366,1,397,380,-31,-14,-17,961,196,289
373,1,397,380,-24,-7,-17,576,49,289
358,1,397,380,-39,-22,-17,1521,484,289
393,1,397,380,-4,13,-17,16,169,289
433,2,397,420,36,13,23,1296,169,529
420,2,397,420,23,0,23,529,0,529
406,2,397,420,9,-14,23,81,196,529
397,2,397,420,0,-23,23,0,529,529
443,2,397,420,46,23,23,2116,529,529
427,2,397,420,30,7,23,900,49,529
414,2,397,420,17,-6,23,289,36,529
410,3,397,391,13,19,-6,169,361,36
398,3,397,391,1,7,-6,1,49,36
385,3,397,391,-12,-6,-6,144,36,36
406,3,397,391,9,15,-6,81,225,36
391,3,397,391,-6,0,-6,36,0,36
368,3,397,391,-29,-23,-6,841,529,36
379,3,397,391,-18,-12,-6,324,144,36
