age,continent,stressBefore,stressAfter,group,treatment,stressDiff
19.5,africa,10,9,mindfulness,yes,-1
43.41666667,africa,13,11,mindfulness,yes,-2
33.16666667,asia,11,10,mindfulness,yes,-1
44.5,northAmerica,9,7,mindfulness,yes,-2
63.75,africa,11,13,mindfulness,yes,2
22.5,africa,5,9,mindfulness,yes,4
22.41666667,southAmerica,12,13,mindfulness,yes,1
45,northAmerica,9,7,mindfulness,yes,-2
51.58333333,northAmerica,9,4,mindfulness,yes,-5
25.33333333,southAmerica,11,7,mindfulness,yes,-4
44,northAmerica,10,9,mindfulness,yes,-1
35.16666667,asia,13,9,mindfulness,yes,-4
35.16666667,northAmerica,8,3,mindfulness,yes,-5
55,africa,14,8,mindfulness,yes,-6
61.25,northAmerica,13,13,mindfulness,yes,0
59.5,africa,11,10,mindfulness,yes,-1
43.83333333,northAmerica,9,8,mindfulness,yes,-1
56.91666667,europe,14,6,mindfulness,yes,-8
65.66666667,africa,12,9,mindfulness,yes,-3
30.25,southAmerica,9,9,mindfulness,yes,0
21.5,africa,10,12,mindfulness,yes,2
41.58333333,northAmerica,9,7,mindfulness,yes,-2
25.91666667,europe,11,9,mindfulness,yes,-2
60,europe,9,8,mindfulness,yes,-1
63,northAmerica,13,9,mindfulness,yes,-4
56.75,europe,12,10,mindfulness,yes,-2
48,europe,10,10,mindfulness,yes,0
61.66666667,europe,9,8,mindfulness,yes,-1
54,europe,10,8,mindfulness,yes,-2
51.33333333,southAmerica,11,10,mindfulness,yes,-1
56.91666667,northAmerica,15,13,mindfulness,yes,-2
31,northAmerica,14,14,mindfulness,yes,0
24.5,southAmerica,11,9,mindfulness,yes,-2
43.5,asia,11,10,mindfulness,yes,-1
49.83333333,northAmerica,10,12,mindfulness,yes,2
37.58333333,africa,10,6,mindfulness,yes,-4
37.91666667,northAmerica,9,7,mindfulness,yes,-2
36.16666667,asia,14,14,mindfulness,yes,0
37.83333333,northAmerica,9,9,mindfulness,yes,0
21,northAmerica,7,12,mindfulness,yes,5
30.75,africa,12,12,mindfulness,yes,0
30.5,southAmerica,11,8,mindfulness,yes,-3
65.16666667,europe,11,9,mindfulness,yes,-2
44.91666667,asia,11,6,mindfulness,yes,-5
54.25,northAmerica,13,15,mindfulness,yes,2
40.91666667,europe,11,7,mindfulness,yes,-4
65.66666667,northAmerica,10,10,mindfulness,yes,0
64.5,asia,9,9,mindfulness,yes,0
24,southAmerica,10,11,mindfulness,yes,1
44.25,northAmerica,12,11,mindfulness,yes,-1
30.66666667,europe,8,7,mindfulness,yes,-1
37.83333333,asia,13,12,mindfulness,yes,-1
44.41666667,europe,11,12,mindfulness,yes,1
57.75,asia,10,7,mindfulness,yes,-3
22.83333333,africa,10,10,mindfulness,yes,0
36.08333333,southAmerica,14,11,mindfulness,yes,-3
35.33333333,southAmerica,10,9,mindfulness,yes,-1
38.66666667,northAmerica,8,7,mindfulness,yes,-1
41.5,northAmerica,11,10,mindfulness,yes,-1
30.33333333,africa,8,4,mindfulness,yes,-4
49.33333333,southAmerica,14,12,mindfulness,yes,-2
57,africa,11,11,mindfulness,yes,0
41.08333333,europe,12,11,mindfulness,yes,-1
26,africa,9,9,mindfulness,yes,0
56,africa,14,12,mindfulness,yes,-2
59.66666667,africa,8,6,mindfulness,yes,-2
45.91666667,africa,11,7,mindfulness,yes,-4
57.25,africa,10,12,mindfulness,yes,2
32.33333333,northAmerica,8,4,mindfulness,yes,-4
57.25,northAmerica,8,8,mindfulness,yes,0
24.83333333,europe,10,12,mindfulness,yes,2
31.91666667,southAmerica,8,6,mindfulness,yes,-2
33.25,southAmerica,10,10,mindfulness,yes,0
27.33333333,southAmerica,11,10,mindfulness,yes,-1
20,europe,13,9,mindfulness,yes,-4
29.08333333,europe,9,5,mindfulness,yes,-4
59.08333333,asia,11,10,mindfulness,yes,-1
58,asia,10,11,mindfulness,yes,1
54.08333333,asia,10,7,mindfulness,yes,-3
33.91666667,europe,9,8,mindfulness,yes,-1
22.75,northAmerica,14,11,mindfulness,yes,-3
28.25,africa,14,13,mindfulness,yes,-1
39.75,africa,10,8,mindfulness,yes,-2
20.5,southAmerica,10,5,mindfulness,yes,-5
29.91666667,northAmerica,9,5,mindfulness,yes,-4
22.58333333,asia,11,12,mindfulness,yes,1
30,africa,14,12,mindfulness,yes,-2
20.33333333,asia,10,7,mindfulness,yes,-3
22.58333333,northAmerica,14,14,mindfulness,yes,0
39.41666667,africa,12,14,mindfulness,yes,2
59,northAmerica,11,9,mindfulness,yes,-2
33.41666667,southAmerica,7,3,mindfulness,yes,-4
55.5,europe,12,10,mindfulness,yes,-2
35.83333333,southAmerica,10,5,mindfulness,yes,-5
19.5,europe,8,8,mindfulness,yes,0
57.41666667,africa,10,8,mindfulness,yes,-2
36.58333333,southAmerica,11,11,mindfulness,yes,0
27.08333333,northAmerica,7,9,mindfulness,yes,2
32.91666667,southAmerica,10,8,mindfulness,yes,-2
23.41666667,europe,9,5,mindfulness,yes,-4
18.5,asia,12,11,control,no,-1
24.16666667,southAmerica,12,13,control,no,1
63,northAmerica,14,12,control,no,-2
61,southAmerica,10,7,control,no,-3
58.25,asia,12,12,control,no,0
21.75,africa,10,8,control,no,-2
29.16666667,africa,12,9,control,no,-3
35.33333333,asia,9,9,control,no,0
35.41666667,asia,11,10,control,no,-1
30.75,southAmerica,11,10,control,no,-1
41.66666667,europe,9,9,control,no,0
26,africa,12,10,control,no,-2
26.16666667,africa,9,5,control,no,-4
30.66666667,africa,14,14,control,no,0
45,europe,13,14,control,no,1
27.25,europe,10,10,control,no,0
37.08333333,southAmerica,12,11,control,no,-1
48,europe,10,11,control,no,1
44.5,northAmerica,9,9,control,no,0
22.33333333,asia,6,6,control,no,0
25,asia,12,9,control,no,-3
61,southAmerica,15,14,control,no,-1
20.58333333,asia,10,11,control,no,1
65.83333333,asia,12,11,control,no,-1
51.5,europe,9,6,control,no,-3
22.75,northAmerica,8,11,control,no,3
46.25,africa,9,9,control,no,0
65.91666667,asia,11,11,control,no,0
29.16666667,asia,10,10,control,no,0
19.5,southAmerica,11,9,control,no,-2
25.16666667,asia,8,8,control,no,0
18.91666667,northAmerica,13,13,control,no,0
28.58333333,southAmerica,10,13,control,no,3
62.08333333,northAmerica,11,9,control,no,-2
36.58333333,europe,11,12,control,no,1
32.75,southAmerica,12,9,control,no,-3
36.5,asia,11,10,control,no,-1
34.58333333,africa,11,15,control,no,4
50.83333333,northAmerica,10,9,control,no,-1
61,europe,9,10,control,no,1
65.58333333,northAmerica,11,13,control,no,2
28.58333333,africa,6,8,control,no,2
57.08333333,europe,9,8,control,no,-1
59.41666667,asia,12,10,control,no,-2
57,europe,9,9,control,no,0
48,europe,10,12,control,no,2
46.16666667,northAmerica,7,3,control,no,-4
35.75,africa,12,14,control,no,2
64.25,europe,11,10,control,no,-1
60.66666667,europe,12,15,control,no,3
42.91666667,northAmerica,12,14,control,no,2
41,northAmerica,13,11,control,no,-2
50.08333333,asia,12,13,control,no,1
18.66666667,europe,11,11,control,no,0
33.58333333,asia,12,14,control,no,2
20.58333333,asia,8,6,control,no,-2
58.41666667,northAmerica,13,12,control,no,-1
59.83333333,northAmerica,10,9,control,no,-1
50.25,europe,13,13,control,no,0
30.33333333,africa,10,4,control,no,-6
57.08333333,northAmerica,15,15,control,no,0
28.66666667,asia,12,15,control,no,3
21.58333333,southAmerica,12,12,control,no,0
20.83333333,africa,13,15,control,no,2
45.66666667,asia,12,10,control,no,-2
20.75,southAmerica,12,11,control,no,-1
58.58333333,southAmerica,13,10,control,no,-3
27.25,europe,9,11,control,no,2
21.5,southAmerica,12,13,control,no,1
53.5,southAmerica,13,13,control,no,0
41.58333333,asia,14,14,control,no,0
47.33333333,asia,11,9,control,no,-2
35.33333333,southAmerica,12,13,control,no,1
31.75,europe,8,11,control,no,3
49.83333333,asia,9,10,control,no,1
27.91666667,southAmerica,12,12,control,no,0
