subjectID,task,score
1,easy1,60
1,easy2,67
1,hard1,70
1,hard2,75
2,easy1,78
2,easy2,83
2,hard1,68
2,hard2,67
3,easy1,59
3,easy2,82
3,hard1,76
3,hard2,74
4,easy1,44
4,easy2,66
4,hard1,57
4,hard2,59
5,easy1,71
5,easy2,79
5,hard1,83
5,hard2,89
6,easy1,67
6,easy2,62
6,hard1,76
6,hard2,64
7,easy1,82
7,easy2,90
7,hard1,93
7,hard2,84
8,easy1,80
8,easy2,85
8,hard1,77
8,hard2,74
9,easy1,73
9,easy2,80
9,hard1,72
9,hard2,71
10,easy1,94
10,easy2,89
10,hard1,91
10,hard2,94
11,easy1,89
11,easy2,91
11,hard1,73
11,hard2,84
12,easy1,70
12,easy2,70
12,hard1,57
12,hard2,67
13,easy1,74
13,easy2,76
13,hard1,60
13,hard2,69
14,easy1,73
14,easy2,84
14,hard1,76
14,hard2,84
15,easy1,79
15,easy2,87
15,hard1,68
15,hard2,79
16,easy1,86
16,easy2,78
16,hard1,78
16,hard2,84
17,easy1,59
17,easy2,66
17,hard1,60
17,hard2,66
18,easy1,83
18,easy2,89
18,hard1,86
18,hard2,86
19,easy1,77
19,easy2,96
19,hard1,73
19,hard2,78
20,easy1,86
20,easy2,91
20,hard1,67
20,hard2,73
21,easy1,75
21,easy2,82
21,hard1,88
21,hard2,92
22,easy1,72
22,easy2,85
22,hard1,88
22,hard2,93
23,easy1,73
23,easy2,80
23,hard1,81
23,hard2,86
24,easy1,73
24,easy2,71
24,hard1,70
24,hard2,81
25,easy1,75
25,easy2,84
25,hard1,75
25,hard2,84
26,easy1,78
26,easy2,88
26,hard1,75
26,hard2,85
27,easy1,77
27,easy2,80
27,hard1,75
27,hard2,89
28,easy1,58
28,easy2,75
28,hard1,78
28,hard2,79
29,easy1,71
29,easy2,89
29,hard1,74
29,hard2,78
30,easy1,73
30,easy2,81
30,hard1,52
30,hard2,84
31,easy1,59
31,easy2,63
31,hard1,75
31,hard2,79
32,easy1,70
32,easy2,75
32,hard1,66
32,hard2,71
33,easy1,88
33,easy2,84
33,hard1,69
33,hard2,73
34,easy1,80
34,easy2,87
34,hard1,70
34,hard2,87
35,easy1,74
35,easy2,99
35,hard1,91
35,hard2,84
36,easy1,64
36,easy2,67
36,hard1,85
36,hard2,71
37,easy1,67
37,easy2,92
37,hard1,81
37,hard2,78
38,easy1,72
38,easy2,73
38,hard1,69
38,hard2,87
39,easy1,77
39,easy2,64
39,hard1,61
39,hard2,74
40,easy1,77
40,easy2,94
40,hard1,56
40,hard2,62
41,easy1,57
41,easy2,69
41,hard1,58
41,hard2,74
42,easy1,69
42,easy2,81
42,hard1,66
42,hard2,96
43,easy1,92
43,easy2,100
43,hard1,94
43,hard2,81
44,easy1,64
44,easy2,91
44,hard1,74
44,hard2,87
45,easy1,76
45,easy2,96
45,hard1,72
45,hard2,82
46,easy1,84
46,easy2,89
46,hard1,74
46,hard2,61
47,easy1,73
47,easy2,93
47,hard1,62
47,hard2,79
48,easy1,86
48,easy2,78
48,hard1,73
48,hard2,68
49,easy1,86
49,easy2,65
49,hard1,82
49,hard2,96
50,easy1,78
50,easy2,93
50,hard1,65
50,hard2,76
51,easy1,94
51,easy2,79
51,hard1,78
51,hard2,81
52,easy1,67
52,easy2,72
52,hard1,68
52,hard2,86
53,easy1,73
53,easy2,78
53,hard1,70
53,hard2,82
54,easy1,84
54,easy2,92
54,hard1,70
54,hard2,76
55,easy1,60
55,easy2,78
55,hard1,77
55,hard2,73
56,easy1,69
56,easy2,82
56,hard1,82
56,hard2,100
57,easy1,78
57,easy2,76
57,hard1,66
57,hard2,76
58,easy1,64
58,easy2,81
58,hard1,75
58,hard2,71
59,easy1,67
59,easy2,70
59,hard1,75
59,hard2,84
60,easy1,65
60,easy2,81
60,hard1,75
60,hard2,75
61,easy1,69
61,easy2,70
61,hard1,76
61,hard2,74
62,easy1,66
62,easy2,88
62,hard1,74
62,hard2,75
63,easy1,72
63,easy2,91
63,hard1,62
63,hard2,64
64,easy1,84
64,easy2,54
64,hard1,76
64,hard2,80
65,easy1,77
65,easy2,85
65,hard1,72
65,hard2,80
66,easy1,82
66,easy2,80
66,hard1,52
66,hard2,93
67,easy1,78
67,easy2,75
67,hard1,65
67,hard2,73
68,easy1,86
68,easy2,89
68,hard1,66
68,hard2,68
69,easy1,52
69,easy2,70
69,hard1,82
69,hard2,78
70,easy1,62
70,easy2,73
70,hard1,53
70,hard2,72
71,easy1,85
71,easy2,85
71,hard1,82
71,hard2,64
72,easy1,78
72,easy2,81
72,hard1,59
72,hard2,66
73,easy1,79
73,easy2,82
73,hard1,88
73,hard2,85
74,easy1,71
74,easy2,60
74,hard1,81
74,hard2,68
75,easy1,73
75,easy2,87
75,hard1,60
75,hard2,76
76,easy1,69
76,easy2,89
76,hard1,78
76,hard2,86
77,easy1,75
77,easy2,80
77,hard1,92
77,hard2,64
78,easy1,75
78,easy2,78
78,hard1,83
78,hard2,84
79,easy1,60
79,easy2,73
79,hard1,92
79,hard2,72
80,easy1,75
80,easy2,85
80,hard1,72
80,hard2,92
81,easy1,56
81,easy2,84
81,hard1,70
81,hard2,78
82,easy1,93
82,easy2,74
82,hard1,94
82,hard2,87
83,easy1,68
83,easy2,82
83,hard1,74
83,hard2,74
84,easy1,71
84,easy2,88
84,hard1,59
84,hard2,79
85,easy1,71
85,easy2,82
85,hard1,57
85,hard2,67
86,easy1,70
86,easy2,81
86,hard1,58
86,hard2,79
87,easy1,82
87,easy2,73
87,hard1,70
87,hard2,68
88,easy1,78
88,easy2,81
88,hard1,95
88,hard2,79
89,easy1,86
89,easy2,78
89,hard1,69
89,hard2,99
90,easy1,84
90,easy2,88
90,hard1,83
90,hard2,71
91,easy1,72
91,easy2,78
91,hard1,62
91,hard2,84
92,easy1,69
92,easy2,82
92,hard1,77
92,hard2,75
93,easy1,74
93,easy2,80
93,hard1,89
93,hard2,80
94,easy1,62
94,easy2,85
94,hard1,58
94,hard2,71
95,easy1,50
95,easy2,85
95,hard1,64
95,hard2,78
96,easy1,83
96,easy2,65
96,hard1,73
96,hard2,75
97,easy1,100
97,easy2,83
97,hard1,66
97,hard2,68
98,easy1,60
98,easy2,88
98,hard1,91
98,hard2,79
99,easy1,80
99,easy2,88
99,hard1,59
99,hard2,91
100,easy1,79
100,easy2,93
100,hard1,72
100,hard2,94
101,easy1,68
101,easy2,58
101,hard1,75
101,hard2,64
102,easy1,80
102,easy2,71
102,hard1,80
102,hard2,71
103,easy1,86
103,easy2,87
103,hard1,70
103,hard2,72
104,easy1,73
104,easy2,75
104,hard1,66
104,hard2,65
105,easy1,75
105,easy2,84
105,hard1,78
105,hard2,71
106,easy1,73
106,easy2,84
106,hard1,53
106,hard2,93
107,easy1,69
107,easy2,87
107,hard1,91
107,hard2,76
108,easy1,77
108,easy2,87
108,hard1,78
108,hard2,86
109,easy1,71
109,easy2,64
109,hard1,61
109,hard2,68
110,easy1,76
110,easy2,82
110,hard1,69
110,hard2,79
111,easy1,71
111,easy2,79
111,hard1,97
111,hard2,82
112,easy1,64
112,easy2,75
112,hard1,85
112,hard2,88
113,easy1,72
113,easy2,69
113,hard1,78
113,hard2,75
114,easy1,76
114,easy2,85
114,hard1,65
114,hard2,76
115,easy1,59
115,easy2,85
115,hard1,70
115,hard2,87
116,easy1,68
116,easy2,63
116,hard1,75
116,hard2,65
117,easy1,68
117,easy2,82
117,hard1,69
117,hard2,67
118,easy1,70
118,easy2,85
118,hard1,67
118,hard2,55
119,easy1,78
119,easy2,93
119,hard1,74
119,hard2,78
120,easy1,57
120,easy2,88
120,hard1,81
120,hard2,69
121,easy1,79
121,easy2,88
121,hard1,99
121,hard2,73
122,easy1,52
122,easy2,69
122,hard1,73
122,hard2,80
123,easy1,60
123,easy2,66
123,hard1,74
123,hard2,92
124,easy1,78
124,easy2,75
124,hard1,82
124,hard2,86
125,easy1,84
125,easy2,87
125,hard1,75
125,hard2,81
126,easy1,81
126,easy2,82
126,hard1,66
126,hard2,72
127,easy1,70
127,easy2,85
127,hard1,100
127,hard2,76
128,easy1,75
128,easy2,88
128,hard1,77
128,hard2,84
129,easy1,80
129,easy2,74
129,hard1,75
129,hard2,74
130,easy1,82
130,easy2,92
130,hard1,82
130,hard2,85
131,easy1,79
131,easy2,64
131,hard1,72
131,hard2,76
132,easy1,82
132,easy2,84
132,hard1,73
132,hard2,73
133,easy1,92
133,easy2,84
133,hard1,81
133,hard2,68
134,easy1,76
134,easy2,88
134,hard1,98
134,hard2,91
135,easy1,64
135,easy2,82
135,hard1,55
135,hard2,58
136,easy1,77
136,easy2,93
136,hard1,80
136,hard2,73
137,easy1,68
137,easy2,80
137,hard1,73
137,hard2,67
138,easy1,92
138,easy2,82
138,hard1,69
138,hard2,81
139,easy1,75
139,easy2,78
139,hard1,73
139,hard2,60
140,easy1,67
140,easy2,85
140,hard1,66
140,hard2,76
141,easy1,69
141,easy2,87
141,hard1,76
141,hard2,80
142,easy1,72
142,easy2,84
142,hard1,77
142,hard2,65
143,easy1,84
143,easy2,70
143,hard1,89
143,hard2,73
144,easy1,80
144,easy2,93
144,hard1,61
144,hard2,82
145,easy1,84
145,easy2,85
145,hard1,75
145,hard2,87
146,easy1,77
146,easy2,64
146,hard1,47
146,hard2,75
147,easy1,84
147,easy2,84
147,hard1,90
147,hard2,86
148,easy1,76
148,easy2,93
148,hard1,80
148,hard2,80
149,easy1,75
149,easy2,87
149,hard1,69
149,hard2,71
150,easy1,56
150,easy2,71
150,hard1,73
150,hard2,71
